IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      192.168.100.6,,21,tcp,6.4,Medium,80,"Mitigation","Anonymous FTP Login Reporting","Reports if the remote FTP Server allows anonymous logins.","It was possible to login to the remote FTP service with the following anonymous account(s):

anonymous:anonymous@example.com
ftp:anonymous@example.com

",1.3.6.1.4.1.25623.1.0.900600,"CVE-1999-0497",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,d7b10f00-0027-445e-acab-8cc7a0cb13da,"Based on the files accessible via this anonymous FTP login and
  the permissions of this account an attacker might be able to:

  - gain access to sensitive files

  - upload or delete files.","If you do not want to share files, you should disable anonymous
  logins.","","A host that provides an FTP service may additionally provide
  Anonymous FTP access as well. Under this arrangement, users do not strictly need an account on the
  host. Instead the user typically enters 'anonymous' or 'ftp' when prompted for username. Although
  users are commonly asked to send their email address as their password, little to no verification
  is actually performed on the supplied data.

  Remark: NIST don't see 'configuration issues' as software flaws so the referenced CVE has a
  severity of 0.0. The severity of this VT has been raised by Greenbone to still report a
  configuration issue on the target.","
Details:
Anonymous FTP Login Reporting
(OID: 1.3.6.1.4.1.25623.1.0.900600)
Version used: 2021-10-20T09:03:29Z
","","","",""
192.168.100.6,,,,0.0,Log,80,"","Apache HTTP Server Detection Consolidation","Consolidation of Apache HTTP Server detections.","Detected Apache HTTP Server

Version:       2.2.8
Location:      80/tcp
CPE:           cpe:/a:apache:http_server:2.2.8

Concluded from version/product identification result:
Server: Apache/2.2.8 (Ubuntu) DAV/2
",1.3.6.1.4.1.25623.1.0.117232,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,1c1342eb-c599-4ce8-8d68-805568b92522,"","","","","
Details:
Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
Version used: 2024-03-08T15:37:10Z
","","","",""
192.168.100.6,,80,tcp,4.3,Medium,99,"VendorFix","Apache HTTP Server httpOnly Cookie Information Disclosure Vulnerability","Apache HTTP Server is prone to a cookie information disclosure vulnerability.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.902830,"CVE-2012-0053",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,470ccb29-5047-4b13-86e6-ae15a3658fa2,"Successful exploitation will allow attackers to obtain sensitive information
  that may aid in further attacks.","Update to Apache HTTP Server version 2.2.22 or later.","Apache HTTP Server versions 2.2.0 through 2.2.21.","The flaw is due to an error within the default error response for
  status code 400 when no custom ErrorDocument is configured, which can be
  exploited to expose 'httpOnly' cookies.","
Details:
Apache HTTP Server 'httpOnly' Cookie Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.902830)
Version used: 2022-04-27T12:01:52Z
","Product: cpe:/a:apache:http_server:2.2.8
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2015-0082,DFN-CERT-2014-1592,DFN-CERT-2014-0635,DFN-CERT-2013-1307,DFN-CERT-2012-1276,DFN-CERT-2012-1112,DFN-CERT-2012-0928,DFN-CERT-2012-0758,DFN-CERT-2012-0744,DFN-CERT-2012-0568,DFN-CERT-2012-0425,DFN-CERT-2012-0424,DFN-CERT-2012-0387,DFN-CERT-2012-0343,DFN-CERT-2012-0332,DFN-CERT-2012-0306,DFN-CERT-2012-0264,DFN-CERT-2012-0203,DFN-CERT-2012-0188,CB-K15/0080,CB-K14/1505,CB-K14/0608",""
192.168.100.6,,8009,tcp,0.0,Log,80,"","Apache JServ Protocol (AJP) v1.3 Detection","The script detects a service supporting the
  Apache JServ Protocol (AJP) version 1.3.","A service supporting the Apache JServ Protocol (AJP) v1.3 seems to be running on this port.
",1.3.6.1.4.1.25623.1.0.108082,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,dc92d946-4d05-48e1-b055-eb8423fcb089,"","","","","
Details:
Apache JServ Protocol (AJP) v1.3 Detection
(OID: 1.3.6.1.4.1.25623.1.0.108082)
Version used: 2023-07-25T05:05:58Z
","","","",""
192.168.100.6,,8009,tcp,9.8,High,99,"VendorFix","Apache Tomcat AJP RCE Vulnerability (Ghostcat)","Apache Tomcat is prone to a remote code execution (RCE)
  vulnerability (dubbed 'Ghostcat') in the AJP connector.","The returned status is '400', which should be '403' on a patched system, when trying to read a file which indicates that the installation is vulnerable.
",1.3.6.1.4.1.25623.1.0.143545,"CVE-2020-1938",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,66b89228-cf36-4937-ab07-7274365ca54a,"","Update Apache Tomcat to version 7.0.100, 8.5.51, 9.0.31 or later. For other products
  using Tomcat please contact the vendor for more information on fixed versions.","Apache Tomcat versions prior 7.0.100, 8.5.51 or 9.0.31 when the AJP connector
  is enabled.

  Other products like JBoss or Wildfly which are using Tomcat might be affected as well.","Apache Tomcat server has a file containing vulnerability, which can be used by
  an attacker to read or include any files in all webapp directories on Tomcat, such as webapp configuration files
  or source code.","Sends a crafted AJP request and checks the response.
Details:
Apache Tomcat AJP RCE Vulnerability (Ghostcat)
(OID: 1.3.6.1.4.1.25623.1.0.143545)
Version used: 2024-06-28T15:38:46Z
","","","DFN-CERT-2021-1736,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,WID-SEC-2024-0528,WID-SEC-2023-2480,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0154",""
192.168.100.6,,80,tcp,5.0,Medium,99,"WillNotFix","awiki <= 20100125 Multiple LFI Vulnerabilities - Active Check","awiki is prone to multiple local file include (LFI)
  vulnerabilities because it fails to properly sanitize user-supplied input.","Vulnerable URL: http://192.168.100.6/mutillidae/index.php?page=/etc/passwd
",1.3.6.1.4.1.25623.1.0.103210,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,d0c9ed4d-fffe-4d5e-8146-7fe87657c9b4,"An attacker can exploit this vulnerability to obtain potentially
  sensitive information and execute arbitrary local scripts in the context of the webserver
  process. This may allow the attacker to compromise the application and the host.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General
  solution options are to upgrade to a newer release, disable respective features, remove the
  product or replace the product by another one.","awiki version 20100125 and prior.","","Sends a crafted HTTP GET request and checks the response.
Details:
awiki <= 20100125 Multiple LFI Vulnerabilities - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.103210)
Version used: 2023-12-13T05:05:23Z
","","","",""
192.168.100.6,,25,tcp,5.0,Medium,99,"Workaround","Check if Mailserver answer to VRFY and EXPN requests","The Mailserver on this host answers to VRFY and/or EXPN requests.","'VRFY root' produces the following answer: 252 2.0.0 root


",1.3.6.1.4.1.25623.1.0.100072,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,c5a3568e-8841-4218-af00-bb7262dc3e5a,"","Disable VRFY and/or EXPN on your Mailserver.

  For postfix add 'disable_vrfy_command=yes' in 'main.cf'.

  For Sendmail add the option 'O PrivacyOptions=goaway'.

  It is suggested that, if you really want to publish this type of information, you use a mechanism
  that legitimate users actually know about, such as Finger or HTTP.","","VRFY and EXPN ask the server for information about an address. They are
  inherently unusable through firewalls, gateways, mail exchangers for part-time hosts, etc.","
Details:
Check if Mailserver answer to VRFY and EXPN requests
(OID: 1.3.6.1.4.1.25623.1.0.100072)
Version used: 2023-10-31T05:06:37Z
","","","",""
192.168.100.6,,80,tcp,4.8,Medium,80,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields were identified (URL:input name):

http://192.168.100.6/dvwa/login.php:password
http://192.168.100.6/phpMyAdmin/:pma_password
http://192.168.100.6/phpMyAdmin/?D=A:pma_password
http://192.168.100.6/tikiwiki/tiki-install.php:pass
http://192.168.100.6/twiki/bin/view/TWiki/TWikiUserAuthentication:oldpassword
",1.3.6.1.4.1.25623.1.0.108440,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,0f39cca4-1242-4b40-8d95-b46e707f2542,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: 2023-09-07T05:05:21Z
","","","",""
192.168.100.6,,,,0.0,Log,80,"","CPE Inventory","This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.","192.168.100.6|cpe:/a:apache:http_server:2.2.8
192.168.100.6|cpe:/a:beasts:vsftpd:2.3.4
192.168.100.6|cpe:/a:ietf:secure_shell_protocol:2.0
192.168.100.6|cpe:/a:ietf:secure_sockets_layer:2.0
192.168.100.6|cpe:/a:ietf:secure_sockets_layer:3.0
192.168.100.6|cpe:/a:ietf:transport_layer_security:1.0
192.168.100.6|cpe:/a:isc:bind:9.4.2
192.168.100.6|cpe:/a:jquery:jquery:1.3.2
192.168.100.6|cpe:/a:mysql:mysql:5.0.51a
192.168.100.6|cpe:/a:openbsd:openssh:4.7p1
192.168.100.6|cpe:/a:oracle:mysql:5.0.51a
192.168.100.6|cpe:/a:php:php:5.2.4
192.168.100.6|cpe:/a:phpmyadmin:phpmyadmin:3.1.1
192.168.100.6|cpe:/a:portmap:portmap
192.168.100.6|cpe:/a:postfix:postfix
192.168.100.6|cpe:/a:postgresql:postgresql:8.3.1
192.168.100.6|cpe:/a:proftpd:proftpd:1.3.1
192.168.100.6|cpe:/a:samba:samba:3.0.20
192.168.100.6|cpe:/a:twiki:twiki:01.Feb.2003
192.168.100.6|cpe:/a:unrealircd:unrealircd:3.2.8.1
192.168.100.6|cpe:/o:canonical:ubuntu_linux:8.04

",1.3.6.1.4.1.25623.1.0.810002,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,206ed6de-be2a-40db-a939-46b9b4ab3878,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
Version used: 2022-07-27T10:11:28Z
","","","",""
192.168.100.6,,3306,tcp,0.0,Log,80,"Workaround","Database Open Access Information Disclosure Vulnerability","Various Database server might be prone to an information
  disclosure vulnerability if accessible to remote systems.","Oracle MySQL can be accessed by remote attackers
",1.3.6.1.4.1.25623.1.0.902799,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,9b0cf4d3-04f4-4acf-8498-ccd93496e95f,"Successful exploitation could allow an attacker to obtain
  sensitive information from the database.","Restrict database access to remote systems. Please see the
  manual of the affected database server for more information.","'- Oracle MySQL

  - MariaDB

  - IBM DB2

  - PostgreSQL

  - IBM solidDB

  - Oracle Database

  - Microsoft SQL Server","The remote database server is not restricting direct access from
  remote systems.","Checks the result of various database server detections and
  evaluates their results.
Details:
Database Open Access Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.902799)
Version used: 2024-07-19T15:39:06Z
","","","",""
192.168.100.6,,3632,tcp,0.0,Log,95,"","DistCC Detection","Tries to detect if the remote host is running a DistCC service.","A DistCC service is running at this port.
",1.3.6.1.4.1.25623.1.0.12638,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,50fc9b9d-eef6-4ee1-a670-6dbe99666810,"","","","","
Details:
DistCC Detection
(OID: 1.3.6.1.4.1.25623.1.0.12638)
Version used: 2023-08-01T13:29:10Z
","","","",""
192.168.100.6,,3632,tcp,9.3,High,99,"VendorFix","DistCC RCE Vulnerability (CVE-2004-2687)","DistCC is prone to a remote code execution (RCE)
  vulnerability.","It was possible to execute the ""id"" command.

Result: uid=1(daemon) gid=1(daemon)
",1.3.6.1.4.1.25623.1.0.103553,"CVE-2004-2687",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,52ae8500-c42c-4cb1-b393-69bab9499fc1,"DistCC by default trusts its clients completely that in turn
  could allow a malicious client to execute arbitrary commands on the server.","Vendor updates are available. Please see the references for
  more information.

  For more information about DistCC's security see the references.","","DistCC 2.x, as used in XCode 1.5 and others, when not configured
  to restrict access to the server port, allows remote attackers to execute arbitrary commands via
  compilation jobs, which are executed by the server without authorization checks.","
Details:
DistCC RCE Vulnerability (CVE-2004-2687)
(OID: 1.3.6.1.4.1.25623.1.0.103553)
Version used: 2022-07-07T10:16:06Z
","","","DFN-CERT-2019-0381",""
