IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      192.168.100.6,,21,tcp,6.4,Medium,80,"Mitigation","Anonymous FTP Login Reporting","Reports if the remote FTP Server allows anonymous logins.","It was possible to login to the remote FTP service with the following anonymous account(s):

anonymous:anonymous@example.com
ftp:anonymous@example.com

",1.3.6.1.4.1.25623.1.0.900600,"CVE-1999-0497",810b337a-14ad-440e-9788-3eea6d9715a6,"please1",2024-08-27T06:38:50Z,a97d3acb-a23c-428c-8e27-bae312d5570e,"Based on the files accessible via this anonymous FTP login and
  the permissions of this account an attacker might be able to:

  - gain access to sensitive files

  - upload or delete files.","If you do not want to share files, you should disable anonymous
  logins.","","A host that provides an FTP service may additionally provide
  Anonymous FTP access as well. Under this arrangement, users do not strictly need an account on the
  host. Instead the user typically enters 'anonymous' or 'ftp' when prompted for username. Although
  users are commonly asked to send their email address as their password, little to no verification
  is actually performed on the supplied data.

  Remark: NIST don't see 'configuration issues' as software flaws so the referenced CVE has a
  severity of 0.0. The severity of this VT has been raised by Greenbone to still report a
  configuration issue on the target.","
Details:
Anonymous FTP Login Reporting
(OID: 1.3.6.1.4.1.25623.1.0.900600)
Version used: 2021-10-20T09:03:29Z
","","","",""
192.168.100.28,,21,tcp,6.4,Medium,80,"Mitigation","Anonymous FTP Login Reporting","Reports if the remote FTP Server allows anonymous logins.","It was possible to login to the remote FTP service with the following anonymous account(s):

anonymous:anonymous@example.com
ftp:anonymous@example.com

",1.3.6.1.4.1.25623.1.0.900600,"CVE-1999-0497",810b337a-14ad-440e-9788-3eea6d9715a6,"please1",2024-08-27T06:38:50Z,20eefbb6-37ea-41c1-87be-b1b1404ad40f,"Based on the files accessible via this anonymous FTP login and
  the permissions of this account an attacker might be able to:

  - gain access to sensitive files

  - upload or delete files.","If you do not want to share files, you should disable anonymous
  logins.","","A host that provides an FTP service may additionally provide
  Anonymous FTP access as well. Under this arrangement, users do not strictly need an account on the
  host. Instead the user typically enters 'anonymous' or 'ftp' when prompted for username. Although
  users are commonly asked to send their email address as their password, little to no verification
  is actually performed on the supplied data.

  Remark: NIST don't see 'configuration issues' as software flaws so the referenced CVE has a
  severity of 0.0. The severity of this VT has been raised by Greenbone to still report a
  configuration issue on the target.","
Details:
Anonymous FTP Login Reporting
(OID: 1.3.6.1.4.1.25623.1.0.900600)
Version used: 2021-10-20T09:03:29Z
","","","",""
192.168.100.6,,,,0.0,Log,80,"","Apache HTTP Server Detection Consolidation","Consolidation of Apache HTTP Server detections.","Detected Apache HTTP Server

Version:       2.2.8
Location:      80/tcp
CPE:           cpe:/a:apache:http_server:2.2.8

Concluded from version/product identification result:
Server: Apache/2.2.8 (Ubuntu) DAV/2
",1.3.6.1.4.1.25623.1.0.117232,"",810b337a-14ad-440e-9788-3eea6d9715a6,"please1",2024-08-27T06:38:50Z,2022a571-2e12-480f-9942-c20669b93e40,"","","","","
Details:
Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
Version used: 2024-03-08T15:37:10Z
","","","",""
192.168.100.28,,,,0.0,Log,80,"","Apache HTTP Server Detection Consolidation","Consolidation of Apache HTTP Server detections.","Detected Apache HTTP Server

Version:       2.2.8
Location:      80/tcp
CPE:           cpe:/a:apache:http_server:2.2.8

Concluded from version/product identification result:
Server: Apache/2.2.8 (Ubuntu) DAV/2
",1.3.6.1.4.1.25623.1.0.117232,"",810b337a-14ad-440e-9788-3eea6d9715a6,"please1",2024-08-27T06:38:50Z,bd97a686-2416-4c36-9f66-416af6e76a0d,"","","","","
Details:
Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
Version used: 2024-03-08T15:37:10Z
","","","",""
192.168.100.28,,80,tcp,4.3,Medium,99,"VendorFix","Apache HTTP Server httpOnly Cookie Information Disclosure Vulnerability","Apache HTTP Server is prone to a cookie information disclosure vulnerability.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.902830,"CVE-2012-0053",810b337a-14ad-440e-9788-3eea6d9715a6,"please1",2024-08-27T06:38:50Z,6301cd6f-46b5-4e6c-9dc3-6c0456deffbf,"Successful exploitation will allow attackers to obtain sensitive information
  that may aid in further attacks.","Update to Apache HTTP Server version 2.2.22 or later.","Apache HTTP Server versions 2.2.0 through 2.2.21.","The flaw is due to an error within the default error response for
  status code 400 when no custom ErrorDocument is configured, which can be
  exploited to expose 'httpOnly' cookies.","
Details:
Apache HTTP Server 'httpOnly' Cookie Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.902830)
Version used: 2022-04-27T12:01:52Z
","Product: cpe:/a:apache:http_server:2.2.8
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2015-0082,DFN-CERT-2014-1592,DFN-CERT-2014-0635,DFN-CERT-2013-1307,DFN-CERT-2012-1276,DFN-CERT-2012-1112,DFN-CERT-2012-0928,DFN-CERT-2012-0758,DFN-CERT-2012-0744,DFN-CERT-2012-0568,DFN-CERT-2012-0425,DFN-CERT-2012-0424,DFN-CERT-2012-0387,DFN-CERT-2012-0343,DFN-CERT-2012-0332,DFN-CERT-2012-0306,DFN-CERT-2012-0264,DFN-CERT-2012-0203,DFN-CERT-2012-0188,CB-K15/0080,CB-K14/1505,CB-K14/0608",""
192.168.100.6,,80,tcp,4.3,Medium,99,"VendorFix","Apache HTTP Server httpOnly Cookie Information Disclosure Vulnerability","Apache HTTP Server is prone to a cookie information disclosure vulnerability.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.902830,"CVE-2012-0053",810b337a-14ad-440e-9788-3eea6d9715a6,"please1",2024-08-27T06:38:50Z,36a184c1-08fd-4175-98cd-ea79a468b430,"Successful exploitation will allow attackers to obtain sensitive information
  that may aid in further attacks.","Update to Apache HTTP Server version 2.2.22 or later.","Apache HTTP Server versions 2.2.0 through 2.2.21.","The flaw is due to an error within the default error response for
  status code 400 when no custom ErrorDocument is configured, which can be
  exploited to expose 'httpOnly' cookies.","
Details:
Apache HTTP Server 'httpOnly' Cookie Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.902830)
Version used: 2022-04-27T12:01:52Z
","Product: cpe:/a:apache:http_server:2.2.8
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2015-0082,DFN-CERT-2014-1592,DFN-CERT-2014-0635,DFN-CERT-2013-1307,DFN-CERT-2012-1276,DFN-CERT-2012-1112,DFN-CERT-2012-0928,DFN-CERT-2012-0758,DFN-CERT-2012-0744,DFN-CERT-2012-0568,DFN-CERT-2012-0425,DFN-CERT-2012-0424,DFN-CERT-2012-0387,DFN-CERT-2012-0343,DFN-CERT-2012-0332,DFN-CERT-2012-0306,DFN-CERT-2012-0264,DFN-CERT-2012-0203,DFN-CERT-2012-0188,CB-K15/0080,CB-K14/1505,CB-K14/0608",""
192.168.100.6,,8009,tcp,0.0,Log,80,"","Apache JServ Protocol (AJP) v1.3 Detection","The script detects a service supporting the
  Apache JServ Protocol (AJP) version 1.3.","A service supporting the Apache JServ Protocol (AJP) v1.3 seems to be running on this port.
",1.3.6.1.4.1.25623.1.0.108082,"",810b337a-14ad-440e-9788-3eea6d9715a6,"please1",2024-08-27T06:38:50Z,463f8e39-d0fc-4d2f-b4c7-8c51fc34d0cb,"","","","","
Details:
Apache JServ Protocol (AJP) v1.3 Detection
(OID: 1.3.6.1.4.1.25623.1.0.108082)
Version used: 2023-07-25T05:05:58Z
","","","",""
192.168.100.28,,8009,tcp,0.0,Log,80,"","Apache JServ Protocol (AJP) v1.3 Detection","The script detects a service supporting the
  Apache JServ Protocol (AJP) version 1.3.","A service supporting the Apache JServ Protocol (AJP) v1.3 seems to be running on this port.
",1.3.6.1.4.1.25623.1.0.108082,"",810b337a-14ad-440e-9788-3eea6d9715a6,"please1",2024-08-27T06:38:50Z,ecdae59a-b146-4f60-94c4-539dda21f74e,"","","","","
Details:
Apache JServ Protocol (AJP) v1.3 Detection
(OID: 1.3.6.1.4.1.25623.1.0.108082)
Version used: 2023-07-25T05:05:58Z
","","","",""
192.168.100.28,,8009,tcp,9.8,High,99,"VendorFix","Apache Tomcat AJP RCE Vulnerability (Ghostcat)","Apache Tomcat is prone to a remote code execution (RCE)
  vulnerability (dubbed 'Ghostcat') in the AJP connector.","The returned status is '400', which should be '403' on a patched system, when trying to read a file which indicates that the installation is vulnerable.
",1.3.6.1.4.1.25623.1.0.143545,"CVE-2020-1938",810b337a-14ad-440e-9788-3eea6d9715a6,"please1",2024-08-27T06:38:50Z,dd214f80-032c-4813-b1e2-6d7010c44ecc,"","Update Apache Tomcat to version 7.0.100, 8.5.51, 9.0.31 or later. For other products
  using Tomcat please contact the vendor for more information on fixed versions.","Apache Tomcat versions prior 7.0.100, 8.5.51 or 9.0.31 when the AJP connector
  is enabled.

  Other products like JBoss or Wildfly which are using Tomcat might be affected as well.","Apache Tomcat server has a file containing vulnerability, which can be used by
  an attacker to read or include any files in all webapp directories on Tomcat, such as webapp configuration files
  or source code.","Sends a crafted AJP request and checks the response.
Details:
Apache Tomcat AJP RCE Vulnerability (Ghostcat)
(OID: 1.3.6.1.4.1.25623.1.0.143545)
Version used: 2024-06-28T15:38:46Z
","","","DFN-CERT-2021-1736,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,WID-SEC-2024-0528,WID-SEC-2023-2480,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0154",""
192.168.100.6,,8009,tcp,9.8,High,99,"VendorFix","Apache Tomcat AJP RCE Vulnerability (Ghostcat)","Apache Tomcat is prone to a remote code execution (RCE)
  vulnerability (dubbed 'Ghostcat') in the AJP connector.","The returned status is '400', which should be '403' on a patched system, when trying to read a file which indicates that the installation is vulnerable.
",1.3.6.1.4.1.25623.1.0.143545,"CVE-2020-1938",810b337a-14ad-440e-9788-3eea6d9715a6,"please1",2024-08-27T06:38:50Z,5409dbaa-9a85-4408-9d2f-1329376afdf5,"","Update Apache Tomcat to version 7.0.100, 8.5.51, 9.0.31 or later. For other products
  using Tomcat please contact the vendor for more information on fixed versions.","Apache Tomcat versions prior 7.0.100, 8.5.51 or 9.0.31 when the AJP connector
  is enabled.

  Other products like JBoss or Wildfly which are using Tomcat might be affected as well.","Apache Tomcat server has a file containing vulnerability, which can be used by
  an attacker to read or include any files in all webapp directories on Tomcat, such as webapp configuration files
  or source code.","Sends a crafted AJP request and checks the response.
Details:
Apache Tomcat AJP RCE Vulnerability (Ghostcat)
(OID: 1.3.6.1.4.1.25623.1.0.143545)
Version used: 2024-06-28T15:38:46Z
","","","DFN-CERT-2021-1736,DFN-CERT-2020-1508,DFN-CERT-2020-1413,DFN-CERT-2020-1276,DFN-CERT-2020-1134,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0821,DFN-CERT-2020-0569,DFN-CERT-2020-0557,DFN-CERT-2020-0501,DFN-CERT-2020-0381,WID-SEC-2024-0528,WID-SEC-2023-2480,CB-K20/0711,CB-K20/0705,CB-K20/0693,CB-K20/0555,CB-K20/0543,CB-K20/0154",""
